pair_id,gold_label
49605449#3598671,match
50005399#16403660,non_match
5030809#46246978,non_match
50789754#58893463,non_match
5092599#64692163,non_match
51919374#75462645,match
51946981#29914496,non_match
52993309#46987758,match
5312650#48305046,match
53426556#149175,match
53464814#34259452,non_match
54500223#78196838,match
54536046#40357787,non_match
54536046#9561888,non_match
54550733#34073206,non_match
55031719#30102088,non_match
55037683#97112728,non_match
5519409#21963707,non_match
55393360#6930754,non_match
5603029#66625804,non_match
56034511#22685310,non_match
562267#97165175,non_match
56459937#85887866,non_match
56676909#91929224,non_match
57082229#55031719,match
58755004#37955791,match
58755004#88727182,non_match
61296263#83418921,non_match
61787029#54536046,non_match
61787029#96888760,non_match
61868905#84528711,non_match
61893255#12991173,non_match
61893255#6236857,match
619357#69167600,non_match
619357#87410064,non_match
62089162#15880732,non_match
62089162#60571140,non_match
62145678#91137581,match
62242632#7180445,non_match
62242636#75799899,non_match
62318417#55031719,non_match
62578226#90603941,match
62631842#62293619,non_match
62631842#9016004,match
629096#21463573,non_match
629096#70159856,non_match
62945209#60088869,non_match
63928436#97535509,match
64003605#47389275,match
64016107#22000442,match
64323838#45001854,non_match
64511013#27442156,non_match
64536135#90795718,non_match
66129710#87322400,non_match
66625804#48035811,non_match
66652299#6800809,non_match
66680332#45313699,non_match
66768594#47814705,non_match
66810868#26237955,non_match
66810868#27700752,non_match
6721540#88855243,non_match
67275979#30212626,non_match
67556867#46246978,match
68874465#75249284,non_match
68891313#77969198,non_match
69167600#68891313,non_match
69406607#49092761,match
69817830#10999896,non_match
69918467#71555853,match
70100785#20467137,non_match
70331081#51909448,match
70331081#97940008,non_match
70702847#88286371,non_match
71230660#12750791,non_match
71230660#88168633,match
71490927#34583798,non_match
7158327#45014189,non_match
7158327#72819377,non_match
72314218#93548558,non_match
73591660#44141044,non_match
74021002#26009855,non_match
74722865#66652299,non_match
74756753#45145764,match
74908666#53737120,non_match
75384375#38552937,non_match
75462645#47282882,non_match
75596485#44483408,non_match
75596485#70880620,non_match
75749012#54798530,non_match
75749012#64223023,non_match
76024362#53521572,non_match
76657775#78223883,non_match
76657775#88945662,match
77094922#24927054,non_match
77926243#5030809,non_match
77969198#97396039,non_match
79148737#26301462,non_match
79148737#54685720,non_match
79334302#4486003,non_match
79475473#84899710,non_match
7979158#12032039,non_match
7979158#63899324,non_match
80500885#11542304,non_match
80876204#30675144,match
80876204#77117519,non_match
81069691#96888760,match
81212084#40876435,non_match
81212084#41520329,non_match
81351830#53641305,non_match
81439789#53426556,non_match
81603750#34402785,non_match
81870804#12853731,non_match
82090972#12850168,non_match
82583255#47751906,non_match
8298432#12432797,non_match
830512#9767156,non_match
8315719#89102922,non_match
83274921#92318972,non_match
83992680#30012034,match
84429009#80529811,non_match
84465814#4486003,match
84514463#66625804,non_match
84528711#11763693,non_match
84528711#27166337,match
84668470#76157897,non_match
8482438#37007640,match
85333987#32328366,non_match
8565641#76497591,non_match
85887866#76426260,non_match
86176880#78989521,non_match
86775292#66053411,non_match
87137236#70331081,non_match
87322400#1283491,non_match
87410064#94512766,non_match
87572356#58763783,non_match
88031640#6256141,match
88398980#27021728,non_match
88730603#12772810,non_match
8882504#19462081,non_match
88855243#96888760,non_match
89102922#14418390,non_match
89102922#48035811,non_match
89323553#13502365,non_match
89814977#62578226,non_match
8994298#12524915,non_match
90603941#5137860,non_match
90921158#64536135,non_match
91126559#68173491,non_match
92318972#86924416,non_match
92318972#93168786,non_match
94512766#29914496,match
9513553#59536106,non_match
95222715#83013356,non_match
962259#9748896,non_match
96889697#55031719,non_match
97112728#96712384,non_match
97396039#60392051,non_match
97634734#29553137,non_match
9767156#18567164,non_match
98241359#80086981,match
98554509#56383083,non_match
9862290#12110339,non_match
98793471#85887866,match
